dcls_month,fin_co_no,fin_prdt_cd,intr_rate_type,intr_rate_type_nm,save_trm,intr_rate,intr_rate2,kor_co_nm,fin_prdt_nm,join_way,mtrt_int,spcl_cnd,join_deny,join_member,etc_note,max_limit,dcls_strt_day,dcls_end_day,fin_co_subm_day
202508,0010345,HK00001,S,단리,1,1.0,1.0,애큐온저축은행,정기예금,"영업점,인터넷,스마트폰,전화(텔레뱅킹)","만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용)
만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용)",없음,제한없음,제한없음,가입금액 1백만원이상,,20250801,,202508010920
202508,0010345,HK00001,S,단리,3,1.3,1.3,애큐온저축은행,정기예금,"영업점,인터넷,스마트폰,전화(텔레뱅킹)","만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용)
만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용)",없음,제한없음,제한없음,가입금액 1백만원이상,,20250801,,202508010920
202508,0010345,HK00001,S,단리,6,2.6,2.6,애큐온저축은행,정기예금,"영업점,인터넷,스마트폰,전화(텔레뱅킹)","만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용)
만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용)",없음,제한없음,제한없음,가입금액 1백만원이상,,20250801,,202508010920
202508,0010345,HK00001,S,단리,12,3.05,3.05,애큐온저축은행,정기예금,"영업점,인터넷,스마트폰,전화(텔레뱅킹)","만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용)
만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용)",없음,제한없음,제한없음,가입금액 1백만원이상,,20250801,,202508010920
202508,0010345,HK00001,S,단리,24,2.7,2.7,애큐온저축은행,정기예금,"영업점,인터넷,스마트폰,전화(텔레뱅킹)","만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용)
만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용)",없음,제한없음,제한없음,가입금액 1백만원이상,,20250801,,202508010920
202508,0010345,HK00001,S,단리,36,2.6,2.6,애큐온저축은행,정기예금,"영업점,인터넷,스마트폰,전화(텔레뱅킹)","만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용)
만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용)",없음,제한없음,제한없음,가입금액 1백만원이상,,20250801,,202508010920
202508,0010345,HK00001,M,복리,1,1.0,1.0,애큐온저축은행,정기예금,"영업점,인터넷,스마트폰,전화(텔레뱅킹)","만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용)
만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용)",없음,제한없음,제한없음,가입금액 1백만원이상,,20250801,,202508010920
202508,0010345,HK00001,M,복리,3,1.3,1.3,애큐온저축은행,정기예금,"영업점,인터넷,스마트폰,전화(텔레뱅킹)","만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용)
만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용)",없음,제한없음,제한없음,가입금액 1백만원이상,,20250801,,202508010920
202508,0010345,HK00001,M,복리,6,2.6,2.6,애큐온저축은행,정기예금,"영업점,인터넷,스마트폰,전화(텔레뱅킹)","만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용)
만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용)",없음,제한없음,제한없음,가입금액 1백만원이상,,20250801,,202508010920
202508,0010345,HK00001,M,복리,12,3.05,3.05,애큐온저축은행,정기예금,"영업점,인터넷,스마트폰,전화(텔레뱅킹)","만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용)
만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용)",없음,제한없음,제한없음,가입금액 1백만원이상,,20250801,,202508010920
202508,0010345,HK00001,M,복리,24,2.7,2.7,애큐온저축은행,정기예금,"영업점,인터넷,스마트폰,전화(텔레뱅킹)","만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용)
만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용)",없음,제한없음,제한없음,가입금액 1백만원이상,,20250801,,202508010920
202508,0010345,HK00001,M,복리,36,2.6,2.6,애큐온저축은행,정기예금,"영업점,인터넷,스마트폰,전화(텔레뱅킹)","만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용)
만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용)",없음,제한없음,제한없음,가입금액 1백만원이상,,20250801,,202508010920
202508,0010345,HK00006,S,단리,12,3.05,3.05,애큐온저축은행,플러스회전식정기예금(영업점),영업점,"만기후 1개월 이내 해지 시 : 마지막 회전기간 약정금리
만기후 1개월 초과 이후 해지 시 : 보통예금이율",없음,제한없음,제한없음,"가입금액: 1백만원 이상
1년단위 변동금리 상품 : 가입기간 36개월(가입후 매1년 회전주기 단위로 약정이율 변동)
약정이율 : 회전시점 정기예금 12개월금리+0.1% 
중도해지이율 : 완료된 회전주기기간은 중도해지시에도 회전 구간 별 약정금리제공
(미완료된 회전주기기간은 당행 정기예금 1년 내 중도해지금리 적용)",,20250801,,202508010920
202508,0010345,HK00006,S,단리,24,3.05,3.05,애큐온저축은행,플러스회전식정기예금(영업점),영업점,"만기후 1개월 이내 해지 시 : 마지막 회전기간 약정금리
만기후 1개월 초과 이후 해지 시 : 보통예금이율",없음,제한없음,제한없음,"가입금액: 1백만원 이상
1년단위 변동금리 상품 : 가입기간 36개월(가입후 매1년 회전주기 단위로 약정이율 변동)
약정이율 : 회전시점 정기예금 12개월금리+0.1% 
중도해지이율 : 완료된 회전주기기간은 중도해지시에도 회전 구간 별 약정금리제공
(미완료된 회전주기기간은 당행 정기예금 1년 내 중도해지금리 적용)",,20250801,,202508010920
202508,0010345,HK00006,S,단리,36,3.05,3.05,애큐온저축은행,플러스회전식정기예금(영업점),영업점,"만기후 1개월 이내 해지 시 : 마지막 회전기간 약정금리
만기후 1개월 초과 이후 해지 시 : 보통예금이율",없음,제한없음,제한없음,"가입금액: 1백만원 이상
1년단위 변동금리 상품 : 가입기간 36개월(가입후 매1년 회전주기 단위로 약정이율 변동)
약정이율 : 회전시점 정기예금 12개월금리+0.1% 
중도해지이율 : 완료된 회전주기기간은 중도해지시에도 회전 구간 별 약정금리제공
(미완료된 회전주기기간은 당행 정기예금 1년 내 중도해지금리 적용)",,20250801,,202508010920
