dcls_month,fin_co_no,fin_prdt_cd,intr_rate_type,intr_rate_type_nm,rsrv_type,rsrv_type_nm,save_trm,intr_rate,intr_rate2,kor_co_nm,fin_prdt_nm,join_way,mtrt_int,spcl_cnd,join_deny,join_member,etc_note,max_limit,dcls_strt_day,dcls_end_day,fin_co_subm_day
202508,0010345,HK00002,S,단리,S,정액적립식,3,1.4,1.4,애큐온저축은행,정기적금,"영업점,인터넷,스마트폰,전화(텔레뱅킹)","만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용)
만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용)",없음,제한없음,제한없음,불입금액 : 1만원 이상,,20231226,,202312261618
202508,0010345,HK00002,S,단리,S,정액적립식,6,1.6,1.6,애큐온저축은행,정기적금,"영업점,인터넷,스마트폰,전화(텔레뱅킹)","만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용)
만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용)",없음,제한없음,제한없음,불입금액 : 1만원 이상,,20231226,,202312261618
202508,0010345,HK00002,S,단리,S,정액적립식,12,2.2,2.2,애큐온저축은행,정기적금,"영업점,인터넷,스마트폰,전화(텔레뱅킹)","만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용)
만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용)",없음,제한없음,제한없음,불입금액 : 1만원 이상,,20231226,,202312261618
202508,0010345,HK00002,S,단리,S,정액적립식,24,2.2,2.2,애큐온저축은행,정기적금,"영업점,인터넷,스마트폰,전화(텔레뱅킹)","만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용)
만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용)",없음,제한없음,제한없음,불입금액 : 1만원 이상,,20231226,,202312261618
202508,0010345,HK00002,S,단리,S,정액적립식,36,2.3,2.3,애큐온저축은행,정기적금,"영업점,인터넷,스마트폰,전화(텔레뱅킹)","만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용)
만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용)",없음,제한없음,제한없음,불입금액 : 1만원 이상,,20231226,,202312261618
202508,0010345,HK00002,M,복리,S,정액적립식,3,1.4,1.4,애큐온저축은행,정기적금,"영업점,인터넷,스마트폰,전화(텔레뱅킹)","만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용)
만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용)",없음,제한없음,제한없음,불입금액 : 1만원 이상,,20231226,,202312261618
202508,0010345,HK00002,M,복리,S,정액적립식,6,1.6,1.6,애큐온저축은행,정기적금,"영업점,인터넷,스마트폰,전화(텔레뱅킹)","만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용)
만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용)",없음,제한없음,제한없음,불입금액 : 1만원 이상,,20231226,,202312261618
202508,0010345,HK00002,M,복리,S,정액적립식,36,2.3,2.3,애큐온저축은행,정기적금,"영업점,인터넷,스마트폰,전화(텔레뱅킹)","만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용)
만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용)",없음,제한없음,제한없음,불입금액 : 1만원 이상,,20231226,,202312261618
202508,0010345,HK00002,M,복리,S,정액적립식,12,2.2,2.2,애큐온저축은행,정기적금,"영업점,인터넷,스마트폰,전화(텔레뱅킹)","만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용)
만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용)",없음,제한없음,제한없음,불입금액 : 1만원 이상,,20231226,,202312261618
202508,0010345,HK00002,M,복리,S,정액적립식,24,2.2,2.2,애큐온저축은행,정기적금,"영업점,인터넷,스마트폰,전화(텔레뱅킹)","만기후 1개월 이내 해지 시 : 약정금리(2019.07.01 신규부터 적용)
만기후 1개월 초과 이후 해지 시 : 보통예금이율(2019.07.01 신규부터 적용)",없음,제한없음,제한없음,불입금액 : 1만원 이상,,20231226,,202312261618
